,f0,f1,f2,f3,f4,f5,f6,f7,auc
125,0,1,1,1,1,1,0,1,0.9916753395544905
60,0,0,1,1,1,1,0,0,0.991685980240392
175,1,0,1,0,1,1,1,1,0.9916906446506503
161,1,0,1,0,0,0,0,1,0.9916926853301383
243,1,1,1,1,0,0,1,1,0.9917034717788603
122,0,1,1,1,1,0,1,0,0.9917085734775802
239,1,1,1,0,1,1,1,1,0.9917113429711709
188,1,0,1,1,1,1,0,0,0.9917295633237421
127,0,1,1,1,1,1,1,1,0.9917728548814512
237,1,1,1,0,1,1,0,1,0.9917759159006831
236,1,1,1,0,1,1,0,0,0.9917759159006831
229,1,1,1,0,0,1,0,1,0.9917824752276088
244,1,1,1,1,0,1,0,0,0.9917827667532497
169,1,0,1,0,1,0,0,1,0.9918068176186435
181,1,0,1,1,0,1,0,1,0.9918100244006962
245,1,1,1,1,0,1,0,1,0.9918161464391602
186,1,0,1,1,1,0,1,0,0.9918165837276219
189,1,0,1,1,1,1,0,1,0.9918232888173679
242,1,1,1,1,0,0,1,0,0.9918501091763526
168,1,0,1,0,1,0,0,0,0.9918541905353285
187,1,0,1,1,1,0,1,1,0.9918722651250791
234,1,1,1,0,1,0,1,0,0.9918913600545737
235,1,1,1,0,1,0,1,1,0.991919638041764
233,1,1,1,0,1,0,0,1,0.9919643872276787
232,1,1,1,0,1,0,0,0,0.9919643872276787
246,1,1,1,1,0,1,1,0,0.9919710923174249
184,1,0,1,1,1,0,0,0,0.9919898957212783
185,1,0,1,1,1,0,0,1,0.9920002448815386
254,1,1,1,1,1,1,1,0,0.9920215262533416
255,1,1,1,1,1,1,1,1,0.9920215262533416
191,1,0,1,1,1,1,1,1,0.9920226923559062
190,1,0,1,1,1,1,1,0,0.9920226923559062
248,1,1,1,1,1,0,0,0,0.992041058471298
250,1,1,1,1,1,0,1,0,0.9920439737277092
253,1,1,1,1,1,1,0,1,0.9920473262725824
251,1,1,1,1,1,0,1,1,0.9920601534007923
174,1,0,1,0,1,1,1,0,0.9920709398495144
249,1,1,1,1,1,0,0,1,0.9920793940931074
252,1,1,1,1,1,1,0,0,0.9920936788495232
241,1,1,1,1,0,0,0,1,0.992108692420042
247,1,1,1,1,0,1,1,1,0.9922317162406019
240,1,1,1,1,0,0,0,0,0.992238129804707
